2017-01-08 15:01:41 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2017-01-08 15:01:41 status unpacked php5-cli:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:41 status unpacked php5-cli:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:41 install php5-readline:amd64 <none> 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:41 status half-installed php5-readline:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:41 status unpacked php5-readline:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:41 status unpacked php5-readline:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:41 install libapache2-mod-php5:amd64 <none> 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:41 status half-installed libapache2-mod-php5:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:41 status unpacked libapache2-mod-php5:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:41 status unpacked libapache2-mod-php5:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:41 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2017-01-08 15:01:41 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2017-01-08 15:01:41 status installed man-db:amd64 2.6.7.1-1ubuntu1
2017-01-08 15:01:41 startup packages configure
2017-01-08 15:01:41 configure php5-json:amd64 1.3.2-2build1 <none>
2017-01-08 15:01:41 status unpacked php5-json:amd64 1.3.2-2build1
2017-01-08 15:01:41 status unpacked php5-json:amd64 1.3.2-2build1
2017-01-08 15:01:41 status half-configured php5-json:amd64 1.3.2-2build1
2017-01-08 15:01:41 status installed php5-json:amd64 1.3.2-2build1
2017-01-08 15:01:41 configure php5-common:amd64 5.5.9+dfsg-1ubuntu4.20 <none>
2017-01-08 15:01:41 status unpacked php5-common:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:41 status unpacked php5-common:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:41 status half-configured php5-common:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:42 status installed php5-common:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:42 configure php5-cli:amd64 5.5.9+dfsg-1ubuntu4.20 <none>
2017-01-08 15:01:42 status unpacked php5-cli:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:42 status half-configured php5-cli:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:43 status installed php5-cli:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:43 configure php5-readline:amd64 5.5.9+dfsg-1ubuntu4.20 <none>
2017-01-08 15:01:43 status unpacked php5-readline:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:43 status half-configured php5-readline:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:43 status installed php5-readline:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:43 configure libapache2-mod-php5:amd64 5.5.9+dfsg-1ubuntu4.20 <none>
2017-01-08 15:01:43 status unpacked libapache2-mod-php5:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:43 status unpacked libapache2-mod-php5:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:43 status unpacked libapache2-mod-php5:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:43 status half-configured libapache2-mod-php5:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:48 status installed libapache2-mod-php5:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:49 startup archives unpack
2017-01-08 15:01:49 install php5:all <none> 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:49 status half-installed php5:all 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:49 status unpacked php5:all 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:49 status unpacked php5:all 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:49 startup packages configure
2017-01-08 15:01:49 configure php5:all 5.5.9+dfsg-1ubuntu4.20 <none>
2017-01-08 15:01:49 status unpacked php5:all 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:49 status half-configured php5:all 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:49 status installed php5:all 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:51 startup archives unpack
2017-01-08 15:01:51 install mysql-common:all <none> 5.5.53-0ubuntu0.14.04.1
2017-01-08 15:01:51 status half-installed mysql-common:all 5.5.53-0ubuntu0.14.04.1
2017-01-08 15:01:51 status unpacked mysql-common:all 5.5.53-0ubuntu0.14.04.1
2017-01-08 15:01:51 status unpacked mysql-common:all 5.5.53-0ubuntu0.14.04.1
2017-01-08 15:01:51 install libmysqlclient18:amd64 <none> 5.5.53-0ubuntu0.14.04.1
2017-01-08 15:01:51 status half-installed libmysqlclient18:amd64 5.5.53-0ubuntu0.14.04.1
2017-01-08 15:01:51 status unpacked libmysqlclient18:amd64 5.5.53-0ubuntu0.14.04.1
2017-01-08 15:01:51 status unpacked libmysqlclient18:amd64 5.5.53-0ubuntu0.14.04.1
2017-01-08 15:01:51 install php5-mysql:amd64 <none> 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:51 status triggers-pending libapache2-mod-php5:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:51 status not-installed php5-mysql:amd64 <none>
2017-01-08 15:01:51 status half-installed php5-mysql:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:52 status unpacked php5-mysql:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:52 status unpacked php5-mysql:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:52 trigproc libapache2-mod-php5:amd64 5.5.9+dfsg-1ubuntu4.20 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:52 status half-configured libapache2-mod-php5:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:52 status installed libapache2-mod-php5:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:52 startup packages configure
2017-01-08 15:01:52 configure mysql-common:all 5.5.53-0ubuntu0.14.04.1 <none>
2017-01-08 15:01:52 status unpacked mysql-common:all 5.5.53-0ubuntu0.14.04.1
2017-01-08 15:01:52 status unpacked mysql-common:all 5.5.53-0ubuntu0.14.04.1
